iter	Passed	Remaining
0	1	1342
1	3	1872
2	6	2057
3	9	2370
4	12	2454
5	13	2241
6	15	2215
7	17	2184
8	20	2256
9	22	2198
10	24	2213
11	27	2229
12	29	2239
13	31	2241
14	34	2239
15	36	2265
16	39	2270
17	41	2276
18	44	2286
19	45	2241
20	47	2196
21	49	2197
22	51	2199
23	54	2219
24	56	2197
25	58	2188
26	59	2162
27	62	2176
28	66	2232
29	68	2227
30	71	2224
31	82	2496
32	88	2607
33	94	2689
34	97	2680
35	100	2679
36	104	2715
37	110	2804
38	116	2872
39	119	2861
40	121	2841
41	123	2823
42	126	2822
43	131	2855
44	135	2865
45	137	2851
46	141	2861
47	144	2865
48	149	2909
49	152	2900
50	155	2888
51	157	2874
52	160	2865
53	164	2878
54	166	2865
55	169	2853
56	170	2828
57	173	2814
58	175	2797
59	179	2807
60	184	2845
61	186	2820
62	187	2792
63	190	2788
64	193	2782
65	197	2790
66	198	2768
67	203	2795
68	208	2817
69	211	2809
70	214	2801
71	216	2786
72	218	2775
73	221	2769
74	223	2758
75	226	2751
76	228	2743
77	231	2740
78	234	2731
79	235	2709
80	238	2705
81	241	2699
82	242	2681
83	244	2661
84	246	2650
85	248	2642
86	251	2634
87	253	2629
88	256	2627
89	259	2620
90	261	2608
91	263	2602
92	265	2585
93	268	2586
94	271	2582
95	273	2576
96	275	2563
97	278	2565
98	282	2570
99	287	2585
100	290	2586
101	295	2601
102	299	2612
103	302	2604
104	304	2597
105	307	2592
106	310	2593
107	312	2578
108	313	2562
109	316	2559
110	324	2601
111	328	2601
112	330	2593
113	332	2584
114	334	2577
115	336	2565
116	338	2555
117	341	2551
118	342	2536
119	344	2525
120	346	2515
121	349	2514
122	351	2507
123	353	2497
124	356	2492
125	358	2487
126	360	2480
127	363	2476
128	365	2464
129	366	2453
130	368	2446
131	371	2441
132	373	2433
133	374	2421
134	376	2414
135	378	2404
136	381	2402
137	383	2396
138	388	2406
139	391	2403
140	393	2397
141	396	2397
142	399	2394
143	402	2391
144	404	2386
145	406	2380
146	409	2377
147	412	2372
148	414	2367
149	417	2365
150	419	2361
151	422	2355
152	425	2355
153	429	2359
154	434	2366
155	439	2375
156	441	2370
157	443	2365
158	446	2359
159	447	2349
160	448	2339
161	450	2332
162	453	2327
163	457	2330
164	459	2322
165	461	2320
166	464	2316
167	467	2315
168	470	2311
169	472	2306
170	475	2307
171	479	2310
172	482	2308
173	486	2311
174	489	2306
175	492	2303
176	495	2303
177	501	2315
178	505	2318
179	508	2316
180	511	2313
181	513	2308
182	515	2302
183	518	2299
184	520	2294
185	523	2292
186	526	2287
187	530	2289
188	533	2289
189	536	2288
190	538	2281
191	541	2278
192	543	2272
193	546	2268
194	548	2263
195	550	2258
196	552	2252
197	554	2247
198	556	2241
199	559	2236
200	561	2231
201	563	2227
202	566	2222
203	568	2219
204	572	2220
205	576	2222
206	578	2217
207	581	2215
208	584	2211
209	585	2203
210	587	2198
211	590	2193
212	591	2184
213	593	2179
214	595	2174
215	597	2170
216	600	2167
217	602	2162
218	604	2156
219	607	2152
220	610	2151
221	612	2146
222	614	2142
223	618	2142
224	621	2140
225	623	2136
226	626	2132
227	628	2128
228	630	2123
229	632	2118
230	637	2120
231	640	2119
232	642	2115
233	645	2112
234	647	2107
235	649	2103
236	651	2098
